x	si(x)
1.000000	0.500000
1.100000	0.375104
1.200000	0.268880
1.300000	0.200000
1.400000	0.182669
1.500000	0.213229
1.600000	0.283553
1.700000	0.385518
1.800000	0.510997
1.900000	0.651866
2.000000	0.800000
2.100000	0.948080
2.200000	1.092013
2.300000	1.228516
2.400000	1.354302
2.500000	1.466086
2.600000	1.560584
2.700000	1.634509
2.800000	1.684577
2.900000	1.707502
3.000000	1.700000
3.100000	1.660456
3.200000	1.593941
3.300000	1.507198
3.400000	1.406970
3.500000	1.300000
